code,pred_date,pred_return_FreTS,pred_return_PatchTST,pred_return_WPMixer,pred_return_iTransformer,rank_FreTS,rank_PatchTST,rank_WPMixer,rank_iTransformer,rank_sum,rank_sum_rank
000663.SZ,2025-12-30,0.02193080447614193,0.014416844584047794,0.011861918494105339,0.00019932322902604938,6.0,11.0,34.0,48.0,99.0,1.0
601566.SH,2025-12-30,0.028234640136361122,0.008974835276603699,0.010605912655591965,0.011971437372267246,2.0,47.0,51.0,1.0,101.0,2.0
603682.SH,2025-12-30,0.010106038302183151,0.007073582150042057,0.006063849665224552,-0.0017433012835681438,80.0,92.0,183.0,183.0,538.0,3.0
603778.SH,2025-12-30,0.007669514045119286,0.015314923599362373,0.015732910484075546,-0.003058288712054491,172.0,8.0,17.0,369.0,566.0,4.0
603366.SH,2025-12-30,0.018103102222085,0.004616014193743467,0.00536417867988348,-0.0013375564012676477,16.0,190.0,226.0,140.0,572.0,5.0
000908.SZ,2025-12-30,0.0041631534695625305,0.010804115794599056,0.018744666129350662,0.0004329512594267726,528.0,28.0,11.0,41.0,608.0,6.0
002331.SZ,2025-12-30,0.015866976231336594,0.004330164287239313,0.005408403463661671,-0.0015879606362432241,23.0,216.0,223.0,163.0,625.0,7.0
000790.SZ,2025-12-30,0.011601358652114868,0.007178624626249075,0.008287344127893448,-0.003215597942471504,59.0,89.0,89.0,401.0,638.0,8.0
600327.SH,2025-12-30,0.00933518260717392,0.003687747986987233,0.004872598219662905,0.002674328163266182,106.0,278.0,276.0,12.0,672.0,9.0
002829.SZ,2025-12-30,0.007988796569406986,0.0077151102013885975,0.008337211795151234,-0.0032162643037736416,152.0,68.0,88.0,402.0,710.0,10.0
002930.SZ,2025-12-30,0.007313041482120752,0.005190524738281965,0.003909063525497913,0.0013470279518514872,191.0,161.0,387.0,24.0,763.0,11.0
000572.SZ,2025-12-30,0.00623895600438118,0.01065482571721077,0.004362425766885281,-0.0017233036924153566,276.0,31.0,336.0,180.0,823.0,12.0
603810.SH,2025-12-30,0.008516624569892883,0.005248058587312698,0.003255140269175172,0.00047545856796205044,134.0,160.0,495.0,38.0,827.0,13.0
002862.SZ,2025-12-30,0.006996373645961285,0.006947434972971678,0.003153582103550434,0.003306200262159109,211.0,100.0,518.0,9.0,838.0,14.0
600538.SH,2025-12-30,0.006292924750596285,0.0038783145137131214,0.0045785303227603436,0.0010449702385812998,268.0,252.0,306.0,30.0,856.0,15.0
000407.SZ,2025-12-30,0.009308353997766972,0.0016279089031741023,0.006430413108319044,0.0005960254929959774,108.0,577.0,158.0,36.0,879.0,16.0
002717.SZ,2025-12-30,0.01308500673621893,0.0031370348297059536,0.007629574742168188,-0.0033029052428901196,42.0,349.0,107.0,417.0,915.0,17.0
603709.SH,2025-12-30,0.013646543957293034,0.006711408495903015,0.0020181869622319937,0.0021034865640103817,37.0,105.0,759.0,15.0,916.0,18.0
601007.SH,2025-12-30,0.006668315269052982,0.0034983642399311066,0.004738465882837772,-0.0009886473417282104,241.0,297.0,290.0,106.0,934.0,19.0
002732.SZ,2025-12-30,0.0052385469898581505,0.003853290807455778,0.004789831582456827,0.0013222529087215662,380.0,257.0,286.0,26.0,949.0,20.0
000721.SZ,2025-12-30,0.006943663116544485,0.006154574919492006,0.0037495943251997232,-0.0019502376671880484,216.0,123.0,413.0,203.0,955.0,21.0
600103.SH,2025-12-30,0.02119508571922779,0.0162670761346817,0.013031073845922947,-0.006205505691468716,8.0,3.0,29.0,940.0,980.0,22.0
603729.SH,2025-12-30,0.0054540312848985195,0.004257303196936846,0.006279740482568741,-0.0022931555286049843,359.0,221.0,171.0,245.0,996.0,23.0
600080.SH,2025-12-30,0.005450506694614887,0.004366090055555105,0.0036926569882780313,0.0011683411430567503,361.0,213.0,420.0,28.0,1022.0,24.0
