code,pred_date,pred_return
000001.SZ,2025-12-30,-0.002734349574893713
000002.SZ,2025-12-30,-0.00452975882217288
000004.SZ,2025-12-30,-0.016525696963071823
000006.SZ,2025-12-30,-0.017522817477583885
000007.SZ,2025-12-30,-0.02083226479589939
000008.SZ,2025-12-30,-0.012141252867877483
000009.SZ,2025-12-30,-0.0015670456923544407
000010.SZ,2025-12-30,-0.009741244837641716
000011.SZ,2025-12-30,-0.010875166393816471
000012.SZ,2025-12-30,-0.00215317914262414
000014.SZ,2025-12-30,-0.03040638379752636
000016.SZ,2025-12-30,-0.012021392583847046
000017.SZ,2025-12-30,0.00020928349113091826
000019.SZ,2025-12-30,-0.0034540551714599133
000020.SZ,2025-12-30,-0.02635277807712555
000021.SZ,2025-12-30,-0.01474424172192812
000025.SZ,2025-12-30,-0.006648341193795204
000026.SZ,2025-12-30,-0.012393878772854805
000027.SZ,2025-12-30,-0.006106562912464142
000028.SZ,2025-12-30,-0.0011733861174434423
000029.SZ,2025-12-30,-0.018467526882886887
000030.SZ,2025-12-30,-0.003925943747162819
000031.SZ,2025-12-30,-0.01433558575809002
000032.SZ,2025-12-30,-0.008664047345519066
000034.SZ,2025-12-30,-0.01259551104158163
000035.SZ,2025-12-30,-0.01153487153351307
000036.SZ,2025-12-30,-0.03117220662534237
000037.SZ,2025-12-30,-0.009066402912139893
000039.SZ,2025-12-30,-0.009723064489662647
000042.SZ,2025-12-30,-0.002623944543302059
000045.SZ,2025-12-30,-0.01682061329483986
000048.SZ,2025-12-30,-0.020438410341739655
000049.SZ,2025-12-30,-0.024124229326844215
000050.SZ,2025-12-30,-0.003603431861847639
000055.SZ,2025-12-30,-0.0022218141239136457
000056.SZ,2025-12-30,-0.009709248319268227
000058.SZ,2025-12-30,-0.027469079941511154
000059.SZ,2025-12-30,-0.005401413422077894
000060.SZ,2025-12-30,-0.017337119206786156
000061.SZ,2025-12-30,-0.02764352224767208
000062.SZ,2025-12-30,-0.006301492918282747
000063.SZ,2025-12-30,-0.019836073741316795
000065.SZ,2025-12-30,-0.019407978281378746
000066.SZ,2025-12-30,-0.01007834356278181
000068.SZ,2025-12-30,-0.0070544276386499405
000069.SZ,2025-12-30,-0.009629355743527412
000070.SZ,2025-12-30,-0.0416375957429409
000078.SZ,2025-12-30,-0.03688023239374161
000088.SZ,2025-12-30,-0.0029289303347468376
000089.SZ,2025-12-30,-0.0007917135371826589
000090.SZ,2025-12-30,-0.006955423392355442
000096.SZ,2025-12-30,-0.0025401657912880182
000099.SZ,2025-12-30,-0.004824215080589056
000100.SZ,2025-12-30,-0.010356229729950428
000151.SZ,2025-12-30,-0.008325450122356415
000153.SZ,2025-12-30,-0.0033352109603583813
000155.SZ,2025-12-30,-0.017136644572019577
000156.SZ,2025-12-30,-0.001545369392260909
000157.SZ,2025-12-30,-0.004648986738175154
000158.SZ,2025-12-30,-0.011641551740467548
000159.SZ,2025-12-30,-0.009384739212691784
000166.SZ,2025-12-30,-0.008950404822826385
000300.SH,2025-12-30,-0.007255193777382374
000301.SZ,2025-12-30,-0.011835816316306591
000333.SZ,2025-12-30,-0.005396156571805477
000338.SZ,2025-12-30,-0.009364377707242966
000400.SZ,2025-12-30,-0.010261285118758678
000401.SZ,2025-12-30,-0.0017055054195225239
000402.SZ,2025-12-30,-0.0032270075753331184
000403.SZ,2025-12-30,-0.011189575307071209
000404.SZ,2025-12-30,-0.0034049060195684433
000407.SZ,2025-12-30,0.0005960254929959774
000408.SZ,2025-12-30,-0.01887020282447338
000409.SZ,2025-12-30,-0.004869832657277584
000410.SZ,2025-12-30,-0.009261573664844036
000411.SZ,2025-12-30,-0.017972804605960846
000415.SZ,2025-12-30,-0.011858968995511532
000417.SZ,2025-12-30,-0.017530281096696854
000419.SZ,2025-12-30,-0.002347027650102973
000420.SZ,2025-12-30,-0.02028006501495838
000421.SZ,2025-12-30,-0.003730778582394123
000422.SZ,2025-12-30,-0.012758624739944935
000423.SZ,2025-12-30,-0.00041478528873994946
000425.SZ,2025-12-30,-0.014092775993049145
000426.SZ,2025-12-30,-0.025889752432703972
000428.SZ,2025-12-30,-0.005712972953915596
000429.SZ,2025-12-30,-0.0020529432222247124
000430.SZ,2025-12-30,-0.016914552077651024
000488.SZ,2025-12-30,-0.0039297426119446754
000498.SZ,2025-12-30,-0.005200126674026251
000501.SZ,2025-12-30,-0.003636621404439211
000503.SZ,2025-12-30,0.0006237399647943676
000504.SZ,2025-12-30,-0.016081305220723152
000505.SZ,2025-12-30,-0.033421605825424194
000506.SZ,2025-12-30,-0.005891522392630577
000507.SZ,2025-12-30,-0.004520419053733349
000509.SZ,2025-12-30,-0.02453792653977871
000510.SZ,2025-12-30,-0.034036945551633835
000513.SZ,2025-12-30,-0.0015565354842692614
000514.SZ,2025-12-30,-0.007103429175913334
000516.SZ,2025-12-30,-0.002159771742299199
000517.SZ,2025-12-30,-0.007013602182269096
000518.SZ,2025-12-30,-0.0027924031019210815
000519.SZ,2025-12-30,-0.013709163293242455
000520.SZ,2025-12-30,-0.012455817312002182
000521.SZ,2025-12-30,-0.004291835241019726
000523.SZ,2025-12-30,-0.01927901618182659
000524.SZ,2025-12-30,-0.013955033384263515
000525.SZ,2025-12-30,-0.006472492590546608
000526.SZ,2025-12-30,-0.01763995736837387
000528.SZ,2025-12-30,-0.006056203041225672
000529.SZ,2025-12-30,-0.003758086822926998
000530.SZ,2025-12-30,-0.015579265542328358
000531.SZ,2025-12-30,-0.007130025885999203
000532.SZ,2025-12-30,-0.017352260649204254
000533.SZ,2025-12-30,-0.01708575151860714
000534.SZ,2025-12-30,-0.00931543204933405
000536.SZ,2025-12-30,-0.014106575399637222
000537.SZ,2025-12-30,-0.006418857257813215
000538.SZ,2025-12-30,-0.0036237468011677265
000539.SZ,2025-12-30,-0.0043131704442203045
000541.SZ,2025-12-30,-0.0014103436842560768
000543.SZ,2025-12-30,-0.006704321131110191
000544.SZ,2025-12-30,-0.0023392639122903347
000545.SZ,2025-12-30,-0.014795101247727871
000546.SZ,2025-12-30,-0.027699081227183342
000547.SZ,2025-12-30,-0.03153323382139206
000548.SZ,2025-12-30,-0.00656239315867424
000550.SZ,2025-12-30,-0.006584293209016323
000551.SZ,2025-12-30,-0.03362732380628586
000552.SZ,2025-12-30,-0.0029126866720616817
000553.SZ,2025-12-30,-0.0007618346135132015
000554.SZ,2025-12-30,-0.005371554289013147
000555.SZ,2025-12-30,-0.0189661867916584
000557.SZ,2025-12-30,-0.006505115889012814
000558.SZ,2025-12-30,-0.004839051980525255
000559.SZ,2025-12-30,-0.037059932947158813
000560.SZ,2025-12-30,-0.011698337271809578
000561.SZ,2025-12-30,-0.01367295440286398
000563.SZ,2025-12-30,-0.004837373737245798
000564.SZ,2025-12-30,-0.012358213774859905
000565.SZ,2025-12-30,-0.0119505999609828
000566.SZ,2025-12-30,-0.02344430610537529
000567.SZ,2025-12-30,-0.011152458377182484
000568.SZ,2025-12-30,-0.008071871474385262
000570.SZ,2025-12-30,-0.006581350229680538
000571.SZ,2025-12-30,-0.0011157980188727379
000572.SZ,2025-12-30,-0.0017233036924153566
000573.SZ,2025-12-30,-0.005194618366658688
000576.SZ,2025-12-30,-0.010714937932789326
000581.SZ,2025-12-30,-0.007069679908454418
000582.SZ,2025-12-30,-0.008176874369382858
000586.SZ,2025-12-30,-0.006068491842597723
000589.SZ,2025-12-30,-0.008432863280177116
000590.SZ,2025-12-30,-0.00839174073189497
000591.SZ,2025-12-30,-0.0035016569308936596
000592.SZ,2025-12-30,-0.011918657459318638
000593.SZ,2025-12-30,-0.010921133682131767
000595.SZ,2025-12-30,-0.009419589303433895
000596.SZ,2025-12-30,0.0009204504895024002
000597.SZ,2025-12-30,-0.005525192245841026
000598.SZ,2025-12-30,-0.003796374425292015
000599.SZ,2025-12-30,-0.03019675798714161
000600.SZ,2025-12-30,-0.010996585711836815
000601.SZ,2025-12-30,-0.006142744328826666
000603.SZ,2025-12-30,-0.02402394823729992
000605.SZ,2025-12-30,-0.003873786423355341
000607.SZ,2025-12-30,-0.003093692474067211
000608.SZ,2025-12-30,-0.003470330499112606
000609.SZ,2025-12-30,0.004345268942415714
000610.SZ,2025-12-30,-0.005095742642879486
000612.SZ,2025-12-30,-0.015015573240816593
000615.SZ,2025-12-30,-0.016829345375299454
000617.SZ,2025-12-30,-0.012258410453796387
000619.SZ,2025-12-30,-0.00853793416172266
000620.SZ,2025-12-30,-0.00676171388477087
000623.SZ,2025-12-30,-0.005372687708586454
000625.SZ,2025-12-30,-0.01089013647288084
000626.SZ,2025-12-30,-0.007547951303422451
000628.SZ,2025-12-30,-0.01904449425637722
000629.SZ,2025-12-30,-0.008189955726265907
000630.SZ,2025-12-30,-0.02262783609330654
000631.SZ,2025-12-30,-0.013021139428019524
000632.SZ,2025-12-30,-0.014756417833268642
000633.SZ,2025-12-30,-0.024072861298918724
000635.SZ,2025-12-30,-0.007268328219652176
000636.SZ,2025-12-30,-0.013179575093090534
000637.SZ,2025-12-30,-0.01757785677909851
000638.SZ,2025-12-30,-0.005915285553783178
000639.SZ,2025-12-30,-0.018465248867869377
000650.SZ,2025-12-30,-0.0019282998982816935
000651.SZ,2025-12-30,-0.0014687462244182825
000652.SZ,2025-12-30,-0.008066278882324696
000655.SZ,2025-12-30,-0.01213726308196783
000656.SZ,2025-12-30,-0.007149896584451199
000657.SZ,2025-12-30,-0.03571610152721405
000659.SZ,2025-12-30,-0.0207823533564806
000661.SZ,2025-12-30,-0.01206118706613779
000663.SZ,2025-12-30,0.00019932322902604938
000665.SZ,2025-12-30,-0.01814405433833599
000668.SZ,2025-12-30,-0.0231819748878479
000669.SZ,2025-12-30,-0.008769274689257145
000670.SZ,2025-12-30,-0.011081910692155361
000672.SZ,2025-12-30,-0.020952224731445312
000676.SZ,2025-12-30,-0.0182573851197958
000677.SZ,2025-12-30,-0.013764153234660625
000678.SZ,2025-12-30,-0.029559632763266563
000679.SZ,2025-12-30,-0.0061312648467719555
000680.SZ,2025-12-30,-0.020551083609461784
000681.SZ,2025-12-30,-0.02937961183488369
000682.SZ,2025-12-30,-0.0053938208147883415
000683.SZ,2025-12-30,-0.013883647508919239
000685.SZ,2025-12-30,-0.02198418229818344
000686.SZ,2025-12-30,-0.024968812242150307
000688.SZ,2025-12-30,-0.03042573668062687
000690.SZ,2025-12-30,-0.002381616970524192
000692.SZ,2025-12-30,-0.007687881588935852
000695.SZ,2025-12-30,-0.032052259892225266
000697.SZ,2025-12-30,-0.01108443085104227
000698.SZ,2025-12-30,-0.017452143132686615
000700.SZ,2025-12-30,-0.028066646307706833
000701.SZ,2025-12-30,-0.01829490065574646
000702.SZ,2025-12-30,-0.011148775927722454
000703.SZ,2025-12-30,-0.014769992791116238
000705.SZ,2025-12-30,-0.004765375051647425
000707.SZ,2025-12-30,-0.009687195532023907
000708.SZ,2025-12-30,-0.006385264918208122
000709.SZ,2025-12-30,-0.005644794553518295
000710.SZ,2025-12-30,-0.0017724314238876104
000711.SZ,2025-12-30,-0.009466785006225109
000712.SZ,2025-12-30,-0.01166649628430605
000713.SZ,2025-12-30,-0.004238887224346399
000715.SZ,2025-12-30,-0.007825087755918503
000716.SZ,2025-12-30,-0.014714903198182583
000717.SZ,2025-12-30,-0.005314135458320379
000718.SZ,2025-12-30,-0.005993654951453209
000719.SZ,2025-12-30,-0.0031619686633348465
000720.SZ,2025-12-30,-0.022181373089551926
000721.SZ,2025-12-30,-0.0019502376671880484
000722.SZ,2025-12-30,-0.00863694865256548
000723.SZ,2025-12-30,-0.010164539329707623
000725.SZ,2025-12-30,-0.009122967720031738
000726.SZ,2025-12-30,-0.003523570951074362
000727.SZ,2025-12-30,-0.021122731268405914
000728.SZ,2025-12-30,-0.012351562269032001
000729.SZ,2025-12-30,-0.008671759627759457
000731.SZ,2025-12-30,-0.0023639255668967962
000733.SZ,2025-12-30,-0.010171729139983654
000735.SZ,2025-12-30,-0.008214602246880531
000736.SZ,2025-12-30,-0.00926767848432064
000737.SZ,2025-12-30,-0.03021012432873249
000738.SZ,2025-12-30,-0.011671638116240501
000739.SZ,2025-12-30,-0.0075178490951657295
000750.SZ,2025-12-30,-0.009033121168613434
000751.SZ,2025-12-30,-0.008430084213614464
000752.SZ,2025-12-30,-0.015315170399844646
000753.SZ,2025-12-30,-0.011811226606369019
000755.SZ,2025-12-30,-0.014127620495855808
000756.SZ,2025-12-30,-0.00937266368418932
000757.SZ,2025-12-30,-0.006870088167488575
000758.SZ,2025-12-30,-0.028592826798558235
000759.SZ,2025-12-30,-0.03384711220860481
000761.SZ,2025-12-30,-0.004308822099119425
000762.SZ,2025-12-30,-0.02083168365061283
000766.SZ,2025-12-30,-0.011983535252511501
000767.SZ,2025-12-30,-0.004526394419372082
000768.SZ,2025-12-30,-0.006597056984901428
000776.SZ,2025-12-30,-0.014921759255230427
000777.SZ,2025-12-30,-0.017274703830480576
000778.SZ,2025-12-30,-0.006458844058215618
000779.SZ,2025-12-30,-0.0018294660840183496
000782.SZ,2025-12-30,-0.006539597641676664
000783.SZ,2025-12-30,-0.010971739888191223
000785.SZ,2025-12-30,-0.015139381401240826
000786.SZ,2025-12-30,-0.010714136995375156
000788.SZ,2025-12-30,-0.008061395958065987
000789.SZ,2025-12-30,-0.003095119260251522
000790.SZ,2025-12-30,-0.003215597942471504
