window_tag,train_start,train_end,test_start,test_end,val_start,val_end,test_final_capital,test_cumulative_return_pct,test_annualized_return_pct,test_max_drawdown_pct,test_sharpe,test_win_rate_pct,test_profit_factor,test_total_trades,test_trade_days,val_final_capital,val_cumulative_return_pct,val_annualized_return_pct,val_max_drawdown_pct,val_sharpe,val_win_rate_pct,val_profit_factor,val_total_trades,val_trade_days
win003_tr20110701-20160630_te20160701-20160930_va20161001-20161231,2011-07-01,2016-06-30,2016-07-01,2016-09-30,2016-10-01,2016-12-31,1014096.1001763069,1.4096100176306907,5.981917127955749,23.115382130619352,0.046033773908918794,49.2063492063492,1.0153753107356631,126,63,932808.6050789534,-6.719139492104656,-26.921983981085162,32.149349254860596,-0.43839161209522737,50.0,0.9328768300282204,120,60
win010_tr20150101-20191231_te20200101-20200331_va20200401-20200630,2015-01-01,2019-12-31,2020-01-01,2020-03-31,2020-04-01,2020-06-30,691009.5102532766,-30.899048974672343,-78.05915961624805,44.90997193963691,-0.6296531510089884,50.0,0.8043697453115517,116,58,707710.5826541568,-29.228941734584318,-75.7998602965346,51.91195001961535,-0.4948426295798049,43.103448275862064,0.8630858429059969,116,58
win017_tr20180701-20230630_te20230701-20230930_va20231001-20231231,2018-07-01,2023-06-30,2023-07-01,2023-09-30,2023-10-01,2023-12-31,794756.7059914189,-20.524329400858107,-61.87975751293422,30.6426702820278,-0.9521820610743038,34.375,0.7925627294265234,128,64,1003589.9725298582,0.35899725298582347,1.6290393590230545,34.768215881671566,-0.019237281145770065,50.0,1.005184869652598,120,60
win001_tr20100701-20150630_te20150701-20150930_va20151001-20151231,2010-07-01,2015-06-30,2015-07-01,2015-09-30,2015-10-01,2015-12-31,688518.2485596286,-31.14817514403714,-78.0109285952986,52.79110832735553,-0.6225478360110683,47.61904761904761,0.8455878536468661,126,63,1274013.231690714,27.40132316907139,186.6281377381029,21.866398065926766,1.9257448794521639,50.81967213114754,1.171984623973958,122,61
win008_tr20140101-20181231_te20190101-20190331_va20190401-20190630,2014-01-01,2018-12-31,2019-01-01,2019-03-31,2019-04-01,2019-06-30,1428759.6893817962,42.87596893817962,355.12017634282955,22.28052611424108,3.9903732694304144,51.724137931034484,1.310263152196905,116,58,831070.067185552,-16.892993281444802,-54.014951805211965,31.269370635402886,-0.8033008689289328,44.06779661016949,0.8158164680397685,118,59
win015_tr20170701-20220630_te20220701-20220930_va20221001-20221231,2017-07-01,2022-06-30,2022-07-01,2022-09-30,2022-10-01,2022-12-31,798327.429629021,-20.1672570370979,-60.735887595067275,49.65443701283771,-0.7040903155207856,42.1875,0.8752462280891237,128,64,830865.0510307684,-16.913494896923158,-56.634723125337146,30.21762611630875,-0.6081124453934927,40.0,0.8646696523657106,120,60
win004_tr20120101-20161231_te20170101-20170331_va20170401-20170630,2012-01-01,2016-12-31,2017-01-01,2017-03-31,2017-04-01,2017-06-30,617793.6126080678,-38.22063873919322,-86.759543684494,38.081650371465074,-1.5960817321436924,40.67796610169492,0.4940631053533243,118,59,749810.711235923,-25.018928876407703,-70.56202153533965,42.05152551739989,-1.1599554921494906,48.333333333333336,0.7038661919526116,120,60
win011_tr20150701-20200630_te20200701-20200930_va20201001-20201231,2015-07-01,2020-06-30,2020-07-01,2020-09-30,2020-10-01,2020-12-31,211091.1493829478,-78.89088506170522,-99.81866811206153,85.24478313008773,-0.6228206808873182,36.92307692307693,0.47610172387659205,130,65,668108.0967402748,-33.18919032597252,-83.04803215931715,42.5564894633064,-1.2126906566831277,43.333333333333336,0.6686436355820246,120,60
win018_tr20190101-20231231_te20240101-20240331_va20240401-20240630,2019-01-01,2023-12-31,2024-01-01,2024-03-31,2024-04-01,2024-06-30,839413.8581785626,-16.058614182143742,-52.04533714639239,53.909989751010826,-0.5647012268496054,50.0,0.8495365676267262,116,58,134784.00044803607,-86.52159995519641,-99.97781897245675,86.39121308971596,-0.71254396600892,31.03448275862069,0.41235909742111454,116,58
win006_tr20130101-20171231_te20180101-20180331_va20180401-20180630,2013-01-01,2017-12-31,2018-01-01,2018-03-31,2018-04-01,2018-06-30,815952.5815805378,-18.404741841946215,-57.42594966430916,33.59627978208379,-0.9659914617877331,50.847457627118644,0.7567159659000241,118,59,600768.100499098,-39.923189950090205,-87.93554374762506,60.616212240509995,-0.818641594702581,43.333333333333336,0.7036466985517579,120,60
win013_tr20160701-20210630_te20210701-20210930_va20211001-20211231,2016-07-01,2021-06-30,2021-07-01,2021-09-30,2021-10-01,2021-12-31,424312.3188479654,-57.56876811520345,-96.91664006585532,65.8381307722946,-0.7363640831169934,33.33333333333333,0.6570404593604883,126,63,218497.30464436777,-78.15026953556323,-99.8657945892243,80.66024808050041,-0.6399191231305449,44.26229508196721,0.5325731038346663,122,61
win020_tr20200101-20241231_te20250101-20250331_va20250401-20250630,2020-01-01,2024-12-31,2025-01-01,2025-03-31,2025-04-01,2025-06-30,778531.0243858021,-22.14689756141979,-64.6219974500553,38.05914866660382,-0.7737089076811718,35.08771929824561,0.8143680091166122,114,57,1158849.0785502812,15.884907855028125,83.13105535562212,22.425840038981836,1.145761052717364,50.847457627118644,1.1913282091155162,118,59
win005_tr20120701-20170630_te20170701-20170930_va20171001-20171231,2012-07-01,2017-06-30,2017-07-01,2017-09-30,2017-10-01,2017-12-31,919034.0651720933,-8.096593482790666,-29.562271126039306,33.81769580868022,-0.6473553506877555,49.23076923076923,0.8677519596901471,130,65,1284942.934072376,28.4942934072376,209.73156441828266,22.851644573894774,3.3367858474614227,58.333333333333336,1.3991787915479732,120,60
win012_tr20160101-20201231_te20210101-20210331_va20210401-20210630,2016-01-01,2020-12-31,2021-01-01,2021-03-31,2021-04-01,2021-06-30,476209.0231042822,-52.37909768957177,-95.71869152959086,76.27378330675526,-0.7015657020615587,43.103448275862064,0.7672261516092947,116,58,1177184.614478832,17.71846144788321,95.31759558796328,32.33766373524501,0.8293541790917446,45.76271186440678,1.1033863942380928,118,59
win019_tr20190701-20240630_te20240701-20240930_va20241001-20241231,2019-07-01,2024-06-30,2024-07-01,2024-09-30,2024-10-01,2024-12-31,1248720.8727457607,24.87208727457607,146.31373583797068,48.77645230207438,0.7614926279233739,47.61904761904761,1.0798774552616262,126,63,847986.8789065032,-15.20131210934968,-51.17743386718554,45.183120245802975,-0.41990899152860217,42.62295081967213,0.9178605296249485,122,61
win000_tr20100101-20141231_te20150101-20150331_va20150401-20150630,2010-01-01,2014-12-31,2015-01-01,2015-03-31,2015-04-01,2015-06-30,1310166.9106789466,31.016691067894662,219.27095905372673,15.303138878652517,4.074770123001394,57.89473684210527,1.4846196093967379,114,57,561970.4514556649,-43.80295485443351,-90.60620672359356,52.34415304260304,-0.937084757136048,44.26229508196721,0.6867709539534739,122,61
win007_tr20130701-20180630_te20180701-20180930_va20181001-20181231,2013-07-01,2018-06-30,2018-07-01,2018-09-30,2018-10-01,2018-12-31,331194.23265019926,-66.88057673498008,-98.98124255295915,68.10594395295612,-1.2194797801590065,39.0625,0.37877230837474646,128,64,433569.5466859745,-56.64304533140254,-97.69110650742155,58.262269230824494,-1.2022111795118378,36.666666666666664,0.49958165000391247,120,60
win014_tr20170101-20211231_te20220101-20220331_va20220401-20220630,2017-01-01,2021-12-31,2022-01-01,2022-03-31,2022-04-01,2022-06-30,686985.896469062,-31.301410353093807,-79.69971059800865,49.38714896873018,-0.6269440045623805,53.44827586206896,0.7718724758036934,116,58,382042.66886995954,-61.79573311300405,-98.39929933635614,60.38048069969366,-1.037299698169234,32.758620689655174,0.47540818963971726,116,58
win021_tr20200701-20250630_te20250701-20250930_va20251001-20251231,2020-07-01,2025-06-30,2025-07-01,2025-09-30,2025-10-01,2025-12-31,1009957.5327369273,0.995753273692727,4.103052907238203,23.56150557808062,0.018905235048093515,41.53846153846154,1.009816026657454,130,65,780995.6692119471,-21.900433078805285,-72.46685230521362,33.59272523052092,-0.9958240589831804,49.01960784313725,0.7579550802172034,102,51
win002_tr20110101-20151231_te20160101-20160331_va20160401-20160630,2011-01-01,2015-12-31,2016-01-01,2016-03-31,2016-04-01,2016-06-30,1069181.938084666,6.918193808466593,32.42399565308705,26.793467626362734,0.3823097035345921,54.23728813559322,1.0580409804144397,118,59,785303.500130933,-21.4696499869067,-64.17265389087372,32.307013467117,-1.2368211925021404,41.66666666666667,0.7161122524583414,120,60
win009_tr20140701-20190630_te20190701-20190930_va20191001-20191231,2014-07-01,2019-06-30,2019-07-01,2019-09-30,2019-10-01,2019-12-31,1439455.8792660926,43.94558792660925,338.5525786937726,35.818611006679426,3.382962874305455,57.8125,1.4178153664578634,128,64,487976.3209660166,-51.20236790339834,-95.5833703231337,66.48979472227361,-0.7400652642210005,45.90163934426229,0.6190909366106488,122,61
win016_tr20180101-20221231_te20230101-20230331_va20230401-20230630,2018-01-01,2022-12-31,2023-01-01,2023-03-31,2023-04-01,2023-06-30,1450146.4606681939,45.01464606681939,376.04887689786193,20.265358063131327,5.146199681759216,44.06779661016949,1.560490349949917,118,59,298447.9896009637,-70.15520103990363,-99.33868776212277,75.61151686144856,-0.9047321909898637,33.89830508474576,0.4902281027796439,118,59
