window_tag,train_start,train_end,test_start,test_end,val_start,val_end,test_final_capital,test_cumulative_return_pct,test_annualized_return_pct,test_max_drawdown_pct,test_sharpe,test_win_rate_pct,test_profit_factor,test_total_trades,test_trade_days,val_final_capital,val_cumulative_return_pct,val_annualized_return_pct,val_max_drawdown_pct,val_sharpe,val_win_rate_pct,val_profit_factor,val_total_trades,val_trade_days
win000_tr20100101-20141231_te20150101-20150331_va20150401-20150630,2010-01-01,2014-12-31,2015-01-01,2015-03-31,2015-04-01,2015-06-30,1674295.488964622,67.4295488964622,815.8402597181803,27.909413390338,9.761287437498995,50.877192982456144,1.5746210126454094,114,57,1269504.9209782719,26.95049209782719,166.26160434926,46.70188642764629,1.5211244621728244,47.540983606557376,1.108700335968069,122,61
win001_tr20100701-20150630_te20150701-20150930_va20151001-20151231,2010-07-01,2015-06-30,2015-07-01,2015-09-30,2015-10-01,2015-12-31,846839.8755462276,-15.316012445377245,-49.067662554808734,56.545466718500016,-0.34908341998511005,42.857142857142854,0.9302250468253344,126,63,1440645.6276794686,44.06456276794686,389.14828154666264,32.7613156455123,4.4301327564171205,54.09836065573771,1.2777944469082032,122,61
win002_tr20110101-20151231_te20160101-20160331_va20160401-20160630,2011-01-01,2015-12-31,2016-01-01,2016-03-31,2016-04-01,2016-06-30,1470130.384613467,47.01303846134669,404.20371448748034,27.02804234271474,4.436779968651363,52.54237288135594,1.440947167129034,118,59,976263.0320618113,-2.3736967938188696,-9.699653421458244,34.70909040659956,-0.14497357737226307,51.66666666666667,0.982774286978317,120,60
win003_tr20110701-20160630_te20160701-20160930_va20161001-20161231,2011-07-01,2016-06-30,2016-07-01,2016-09-30,2016-10-01,2016-12-31,1661895.231316859,66.18952313168589,723.4371484946205,22.868410034271694,9.86711358892707,49.2063492063492,1.5704850272979998,126,63,843736.3189733322,-15.626368102666783,-53.522037990256585,30.20705633605325,-0.9202296588246197,53.333333333333336,0.8258602151709472,120,60
win004_tr20120101-20161231_te20170101-20170331_va20170401-20170630,2012-01-01,2016-12-31,2017-01-01,2017-03-31,2017-04-01,2017-06-30,1123678.7568760044,12.36787568760044,63.158537011591044,26.97364273011244,0.8130114385629535,40.67796610169492,1.1218222261299349,118,59,795361.0103643172,-20.463898963568276,-62.18297840067195,39.88235337403924,-0.9005595400897334,45.0,0.8229734293873298,120,60
win005_tr20120701-20170630_te20170701-20170930_va20171001-20171231,2012-07-01,2017-06-30,2017-07-01,2017-09-30,2017-10-01,2017-12-31,575865.3734786689,-42.41346265213311,-89.8796431774842,42.62820531669994,-1.689966263233182,33.84615384615385,0.5157509323024297,130,65,494098.4823831663,-50.590151761683366,-95.83777283031318,52.86307783456661,-2.0161528005250458,40.0,0.4173495564556658,120,60
win006_tr20130101-20171231_te20180101-20180331_va20180401-20180630,2013-01-01,2017-12-31,2018-01-01,2018-03-31,2018-04-01,2018-06-30,352517.4998529509,-64.74825001470491,-98.74414475263586,71.81868825161646,-1.615459929040716,33.89830508474576,0.23119288653299164,118,59,113394.24656819599,-88.6605753431804,-99.98808715289809,89.63956710811738,-1.354511292190611,21.666666666666668,0.23863311338631063,120,60
win007_tr20130701-20180630_te20180701-20180930_va20181001-20181231,2013-07-01,2018-06-30,2018-07-01,2018-09-30,2018-10-01,2018-12-31,467313.23254040914,-53.268676745959084,-95.74709380009678,55.924141285584625,-1.268207593418977,35.9375,0.5048424506764363,128,64,315466.41459993913,-68.45335854000608,-99.44963632542105,71.14605820311426,-0.7876032987333027,33.33333333333333,0.5827589938698688,120,60
win008_tr20140101-20181231_te20190101-20190331_va20190401-20190630,2014-01-01,2018-12-31,2019-01-01,2019-03-31,2019-04-01,2019-06-30,882365.2597502859,-11.763474024971412,-41.22891582335281,42.26905433465256,-0.37704755744377694,46.55172413793103,0.9214039959400723,116,58,219294.42366046482,-78.07055763395351,-99.82882039088031,82.07055459668445,-0.7522201437217076,40.67796610169492,0.4711391135362326,118,59
win009_tr20140701-20190630_te20190701-20190930_va20191001-20191231,2014-07-01,2019-06-30,2019-07-01,2019-09-30,2019-10-01,2019-12-31,530328.4341223718,-46.967156587762815,-92.37725418510529,48.38381709057184,-0.8387801600013164,39.0625,0.6378256738470833,128,64,840333.452691318,-15.966654730868198,-53.06470014770893,50.209608175034084,-0.38054124839755843,47.540983606557376,0.9002956748860934,122,61
