window_tag,train_start,train_end,test_start,test_end,val_start,val_end,test_final_capital,test_cumulative_return_pct,test_annualized_return_pct,test_max_drawdown_pct,test_sharpe,test_win_rate_pct,test_profit_factor,test_total_trades,test_trade_days,val_final_capital,val_cumulative_return_pct,val_annualized_return_pct,val_max_drawdown_pct,val_sharpe,val_win_rate_pct,val_profit_factor,val_total_trades,val_trade_days
win003_tr20110701-20160630_te20160701-20160930_va20161001-20161231,2011-07-01,2016-06-30,2016-07-01,2016-09-30,2016-10-01,2016-12-31,688518.103682146,-31.148189631785407,-78.7550033550664,31.781309147816273,-1.212927290806745,46.03174603174603,0.6705849362723615,126,63,511137.7404159808,-48.886225958401916,-95.15021990537915,54.940847354497976,-1.2816679824416854,40.0,0.5654926794321385,120,60
win010_tr20150101-20191231_te20200101-20200331_va20200401-20200630,2015-01-01,2019-12-31,2020-01-01,2020-03-31,2020-04-01,2020-06-30,553767.1163773024,-44.623288362269754,-91.15634115276241,58.57360481406385,-0.7299740360989918,44.827586206896555,0.7619988052794457,116,58,1371986.3542055327,37.19863542055327,266.16285561932506,29.072490148507296,2.150358067376207,55.172413793103445,1.2495639095003437,116,58
win017_tr20180701-20230630_te20230701-20230930_va20231001-20231231,2018-07-01,2023-06-30,2023-07-01,2023-09-30,2023-10-01,2023-12-31,735662.7016673177,-26.43372983326823,-72.4399143625016,37.29759351297756,-0.8552920985643363,45.3125,0.8249549524179627,128,64,618371.5109110576,-38.16284890889424,-88.55305086799129,46.31800797461899,-0.8520808791635041,45.0,0.739225126077619,120,60
win004_tr20120101-20161231_te20170101-20170331_va20170401-20170630,2012-01-01,2016-12-31,2017-01-01,2017-03-31,2017-04-01,2017-06-30,433436.82055310707,-56.65631794468929,-97.00970277204368,57.45699900007656,-1.2533061902580143,40.67796610169492,0.4474376812797152,118,59,749654.0224886924,-25.034597751130754,-70.58813945477407,39.31400813941174,-0.9240843073432106,51.66666666666667,0.7811703439621108,120,60
win011_tr20150701-20200630_te20200701-20200930_va20201001-20201231,2015-07-01,2020-06-30,2020-07-01,2020-09-30,2020-10-01,2020-12-31,910622.4658061183,-8.937753419388168,-31.61174646854674,49.71958284408326,-0.3621909323654183,53.84615384615385,0.9396954751015033,130,65,842450.9054731986,-15.754909452680138,-52.97255398522519,56.02669583981748,-0.5841932368063757,51.66666666666667,0.9006001723223488,120,60
win018_tr20190101-20231231_te20240101-20240331_va20240401-20240630,2019-01-01,2023-12-31,2024-01-01,2024-03-31,2024-04-01,2024-06-30,603383.8293915214,-39.66161706084786,-88.00855035705746,47.8325609880103,-0.8251540836933625,44.827586206896555,0.6737093511606508,116,58,571466.7884155953,-42.85332115844047,-90.45488503508653,41.99527125590447,-0.8034938161687353,46.55172413793103,0.6918016281503264,116,58
win005_tr20120701-20170630_te20170701-20170930_va20171001-20171231,2012-07-01,2017-06-30,2017-07-01,2017-09-30,2017-10-01,2017-12-31,588425.2879240587,-41.15747120759413,-88.93151562936832,43.6780538461545,-1.5944460082343024,44.61538461538462,0.47399017229760354,130,65,460015.5415915775,-53.99844584084226,-96.98453846089298,58.2110491677055,-1.581150605523022,45.0,0.4186348279552334,120,60
win012_tr20160101-20201231_te20210101-20210331_va20210401-20210630,2016-01-01,2020-12-31,2021-01-01,2021-03-31,2021-04-01,2021-06-30,602545.1574113371,-39.745484258866284,-88.3695808413912,49.744590893527494,-0.9615539519599557,39.6551724137931,0.6774504768255595,116,58,983482.8284197374,-1.65171715802626,-6.606777867947821,46.59955692034755,-0.08471265320891419,54.23728813559322,0.9918116724241587,118,59
win019_tr20190701-20240630_te20240701-20240930_va20241001-20241231,2019-07-01,2024-06-30,2024-07-01,2024-09-30,2024-10-01,2024-12-31,3683610.414706444,268.36104147064435,19766.776260319635,26.255156393085212,140.9474827439155,63.49206349206349,1.7546524549632267,126,63,871241.7209967814,-12.875827900321863,-45.082585237152884,64.29553242609289,-0.39740162156391917,49.18032786885246,0.9471350908838173,122,61
win002_tr20110101-20151231_te20160101-20160331_va20160401-20160630,2011-01-01,2015-12-31,2016-01-01,2016-03-31,2016-04-01,2016-06-30,504677.1105032422,-49.53228894967579,-94.33540064515282,57.93218006601051,-1.026760673524769,47.45762711864407,0.5432883715356672,118,59,822293.9722750484,-17.770602772495163,-56.4375579390656,47.41416968615506,-0.7380886805169063,41.66666666666667,0.7910317733195261,120,60
win009_tr20140701-20190630_te20190701-20190930_va20191001-20191231,2014-07-01,2019-06-30,2019-07-01,2019-09-30,2019-10-01,2019-12-31,777142.2361609857,-22.285776383901435,-64.05697867651315,36.935073626734685,-0.7176801769600009,42.1875,0.8226593899864193,128,64,692824.1632332286,-30.71758367667714,-79.72341724573936,35.38548306838171,-1.0085228066467964,40.98360655737705,0.7411194635686986,122,61
win016_tr20180101-20221231_te20230101-20230331_va20230401-20230630,2018-01-01,2022-12-31,2023-01-01,2023-03-31,2023-04-01,2023-06-30,516891.4958565961,-48.310850414340386,-93.73715642763658,48.36902978682109,-1.2205655903237371,42.3728813559322,0.5359597649651536,118,59,857288.3368610914,-14.271166313890857,-47.22372882921068,18.857217957348674,-0.7494617686117091,45.76271186440678,0.8462722104108984,118,59
win006_tr20130101-20171231_te20180101-20180331_va20180401-20180630,2013-01-01,2017-12-31,2018-01-01,2018-03-31,2018-04-01,2018-06-30,503582.76195517846,-49.641723804482154,-94.38679034193757,56.460131071415766,-1.3874009771242908,37.28813559322034,0.4236271079642563,118,59,430884.8582981254,-56.91151417018746,-96.96337357502826,60.20271351249251,-1.261850905208979,35.0,0.45137928821143314,120,60
win013_tr20160701-20210630_te20210701-20210930_va20211001-20211231,2016-07-01,2021-06-30,2021-07-01,2021-09-30,2021-10-01,2021-12-31,479715.1898216327,-52.028481017836725,-94.92630234683548,61.10980805018211,-1.0104606648877252,46.03174603174603,0.6640968097691754,126,63,884539.3413054375,-11.54606586945625,-41.34368626738281,50.53226457688087,-0.39228022303052135,44.26229508196721,0.9248948708900121,122,61
win020_tr20200101-20241231_te20250101-20250331_va20250401-20250630,2020-01-01,2024-12-31,2025-01-01,2025-03-31,2025-04-01,2025-06-30,1127694.1001098854,12.769410010988544,64.67344971506368,30.52977703504276,0.6160587759385081,49.122807017543856,1.0827062620330006,114,57,932777.131052883,-6.7222868947117,-24.84281631693339,23.405378248910473,-0.34625898689177936,40.67796610169492,0.9472671471810628,118,59
win001_tr20100701-20150630_te20150701-20150930_va20151001-20151231,2010-07-01,2015-06-30,2015-07-01,2015-09-30,2015-10-01,2015-12-31,391772.70855162886,-60.82272914483712,-97.76952662399766,57.044223532303754,-0.7775768677149796,41.269841269841265,0.6261649450168281,126,63,1639167.3582206136,63.916735822061355,757.4880699062721,18.251722789961107,7.974468148197982,55.73770491803278,1.3832137913123623,122,61
win008_tr20140101-20181231_te20190101-20190331_va20190401-20190630,2014-01-01,2018-12-31,2019-01-01,2019-03-31,2019-04-01,2019-06-30,1005306.3981283013,0.5306398128301254,2.273169785308604,35.79823976643387,-0.006528325465004732,53.44827586206896,1.0033233670896278,116,58,884206.8151424982,-11.579318485750177,-40.34891438613442,55.56925618484855,-0.3548365344039219,47.45762711864407,0.9404758519248306,118,59
win015_tr20170701-20220630_te20220701-20220930_va20221001-20221231,2017-07-01,2022-06-30,2022-07-01,2022-09-30,2022-10-01,2022-12-31,477022.3761364363,-52.297762386356375,-95.36816404367134,66.21872387259002,-0.9727676310850298,42.1875,0.6649110595154467,128,64,782457.4758522197,-21.754252414778026,-66.918371923359,32.21104904406564,-0.8082383893027886,51.66666666666667,0.8085658280815285,120,60
win000_tr20100101-20141231_te20150101-20150331_va20150401-20150630,2010-01-01,2014-12-31,2015-01-01,2015-03-31,2015-04-01,2015-06-30,1352968.3289250901,35.296832892509016,266.56472595654014,29.75046450367376,3.57302316625861,49.122807017543856,1.4170774876144705,114,57,676283.2268299465,-32.37167731700535,-79.91558008296997,55.099113969300525,-0.6408715209944322,42.62295081967213,0.8485949296193674,122,61
win007_tr20130701-20180630_te20180701-20180930_va20181001-20181231,2013-07-01,2018-06-30,2018-07-01,2018-09-30,2018-10-01,2018-12-31,429639.35544758354,-57.03606445524164,-96.99963997633529,58.90382700305907,-1.8586754801707417,37.5,0.39661652387256197,128,64,953506.7840646903,-4.649321593530965,-19.320054420390075,39.33756430283274,-0.24463082392131097,45.0,0.9672542044248411,120,60
win014_tr20170101-20211231_te20220101-20220331_va20220401-20220630,2017-01-01,2021-12-31,2022-01-01,2022-03-31,2022-04-01,2022-06-30,2364388.744871275,136.4388744871275,3765.6173515267446,37.029572269951345,32.092689583182086,63.793103448275865,1.7266038061227587,116,58,1535490.7266880383,53.54907266880383,531.4153931894859,41.709758611644354,4.091177887080835,55.172413793103445,1.1805583389451113,116,58
win021_tr20200701-20250630_te20250701-20250930_va20251001-20251231,2020-07-01,2025-06-30,2025-07-01,2025-09-30,2025-10-01,2025-12-31,886406.2276709698,-11.359377232903022,-38.697746292981364,35.643662445874526,-0.5195269286626397,55.38461538461539,0.9162914286115382,130,65,718088.1749866762,-28.191182501332378,-82.23536958887388,38.593784351927155,-0.8676020399247157,45.09803921568628,0.7418926513392043,102,51
